Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.002,
Horizontal Delay,0,
Sample Interval,2e-05,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,-1.96,-2.96
,,
,,
,,
Label,,
TIME,CH1,CH2
2.960e-03,3.73,2.5543
2.980e-03,3.46406,2.54734
3.000e-03,3.14406,2.54961
3.020e-03,2.85219,2.51313
3.040e-03,2.58312,2.32867
3.060e-03,2.30625,2.08586
3.080e-03,2.04719,1.84789
3.100e-03,1.79156,1.61023
3.120e-03,1.55375,1.41109
3.140e-03,1.35312,1.20703
3.160e-03,1.145,1.01242
3.180e-03,0.961875,0.830234
3.200e-03,0.791562,0.671562
3.220e-03,0.613437,0.524062
3.240e-03,0.47375,0.389141
3.260e-03,0.343437,0.276094
3.280e-03,0.231562,0.181797
3.300e-03,0.140312,0.110547
3.320e-03,0.079375,0.0477344
3.340e-03,0.0240625,-0.00140625
3.360e-03,0.0059375,-0.0240625
3.380e-03,0.0090625,-0.0310156
3.400e-03,0.0003125,-0.0252344
3.420e-03,0.033125,0.00851563
3.440e-03,0.08,0.0557031
3.460e-03,0.138437,0.125703
3.480e-03,0.229375,0.196562
3.500e-03,0.36,0.294375
3.520e-03,0.464375,0.408516
3.540e-03,0.6175,0.545234
3.560e-03,0.770625,0.701797
3.580e-03,0.955,0.860859
3.600e-03,1.14844,1.03672
3.620e-03,1.36281,1.23937
3.640e-03,1.56594,1.43641
3.660e-03,1.79469,1.64828
3.680e-03,2.03437,1.87422
3.700e-03,2.30906,2.10438
3.720e-03,2.57687,2.33859
3.740e-03,2.87281,2.52359
3.760e-03,3.15594,2.54664
3.780e-03,3.44906,2.54055
